#,Project Name,Github URL,Github Stars,Project Type,Language %
1,finagle,https://github.com/twitter/finagle,7905,"A fault tolerant, protocol-agnostic RPC system",94.7
2,bfg-repo-cleaner,https://github.com/rtyley/bfg-repo-cleaner,7398,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala",99.9
3,scalaz,https://github.com/scalaz/scalaz,4444,Principled Functional Programming in Scala,98.5
4,dotty,https://github.com/lampepfl/dotty,4380,"The Scala 3 compiler, also known as Dotty.",97.1
5,sbt,https://github.com/sbt/sbt,4294,"sbt, the interactive build tool",96.4
6,scala-js,https://github.com/scala-js/scala-js,4131,"Scala.js, the Scala to JavaScript compiler",99.9
7,marathon,https://github.com/mesosphere/marathon,3995,Deploy and manage containers (including Docker) on top of Apache Mesos at scale.,88.8
8,scala-native,https://github.com/scala-native/scala-native,3961,Your favorite language gets closer to bare metal.,88.5
9,BigDL,https://github.com/intel-analytics/BigDL,3708,BigDL: Distributed Deep Learning Framework for Apache Spark,89.2
10,breeze,https://github.com/scalanlp/breeze,3226,Breeze is a numerical processing library for Scala.,99.8